Date,Hour,Junction,Vehicles,temp_norm,humidity_norm,precip_norm,windspeed_norm,DateTime,Vehicles_lag_1,Vehicles_lag_2,Vehicles_lag_24,DateTime_raw,Time,Vehicles_raw,ID,temp,humidity,precip,windspeed,weather conditions,Event_Name,Event_Type,temp_norm_raw,humidity_norm_raw,precip_norm_raw,windspeed_norm_raw,Day_of_Week,Month,Is_Weekend,Event_Flag
2015-11-02,0,1,14,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 00:00:00,15.0,20.0,15.0,2015-11-02 00:00:00,00:00:00,14,20151102001,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,1,1,12,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 01:00:00,14.0,15.0,13.0,2015-11-02 01:00:00,01:00:00,12,20151102011,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,2,1,14,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 02:00:00,12.0,14.0,10.0,2015-11-02 02:00:00,02:00:00,14,20151102021,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,3,1,12,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 03:00:00,14.0,12.0,7.0,2015-11-02 03:00:00,03:00:00,12,20151102031,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,4,1,12,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 04:00:00,12.0,14.0,9.0,2015-11-02 04:00:00,04:00:00,12,20151102041,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,5,1,11,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 05:00:00,12.0,12.0,6.0,2015-11-02 05:00:00,05:00:00,11,20151102051,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,6,1,13,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 06:00:00,11.0,12.0,9.0,2015-11-02 06:00:00,06:00:00,13,20151102061,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,7,1,14,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 07:00:00,13.0,11.0,8.0,2015-11-02 07:00:00,07:00:00,14,20151102071,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,8,1,12,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 08:00:00,14.0,13.0,11.0,2015-11-02 08:00:00,08:00:00,12,20151102081,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
2015-11-02,9,1,22,0.481927711,0.814756672,0.471408318,0.020338983,2015-11-02 09:00:00,12.0,14.0,12.0,2015-11-02 09:00:00,09:00:00,22,20151102091,77.7,87.1,1.995,7.5,"Rain, Partially cloudy",NONE,NONE,0.481927711,0.814756672,0.471408318,0.020338983,Monday,11,0,1
